=======================================================================================
                            TOP-5000 САМЫХ ЧАСТЫХ СЛОВ
                            Сортировка: По_алфавиту
=======================================================================================

Режим: Все файлы
Файл: Папка SourceTexts
Дата: Dec 10 2025 15:20:06

-----------------------------------------------------------------------------------------------------------------------
  №   Слово                 Частота     Документы
437   атаковать                  12   voyna-i-mir-tom-1.txt
438   атаку                       8   voyna-i-mir-tom-1.txt
439   аугеста                     4   voyna-i-mir-tom-1.txt
440   аудитор                     7   voyna-i-mir-tom-1.txt
441   ауэрсперг                   5   voyna-i-mir-tom-1.txt
442   ауэрсперга                  3   voyna-i-mir-tom-1.txt
443   ах                         52   voyna-i-mir-tom-1.txt
444   б                           4   voyna-i-mir-tom-1.txt
445   багратион                  57   voyna-i-mir-tom-1.txt
446   багратиона                 28   voyna-i-mir-tom-1.txt
447   багратионом                 6   voyna-i-mir-tom-1.txt
448   багратиону                 16   voyna-i-mir-tom-1.txt
449   бала                        3   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
450   балагана                    6   voyna-i-mir-tom-1.txt
451   банник                      4   voyna-i-mir-tom-1.txt
452   барина                      3   voyna-i-mir-tom-1.txt
453   басистым                    3   voyna-i-mir-tom-1.txt
454   баталион                    3   voyna-i-mir-tom-1.txt
455   батальон                    8   voyna-i-mir-tom-1.txt
456   батальоны                   3   voyna-i-mir-tom-1.txt
457   батарее                     9   voyna-i-mir-tom-1.txt
458   батареи                    12   voyna-i-mir-tom-1.txt
459   батарей                     3   voyna-i-mir-tom-1.txt
460   батарею                     7   voyna-i-mir-tom-1.txt
461   батарея                     5   voyna-i-mir-tom-1.txt
462   батюшка                    25   voyna-i-mir-tom-1.txt
463   башмаках                    4   voyna-i-mir-tom-1.txt
464   бегал                       3   voyna-i-mir-tom-1.txt
465   бегут                       4   voyna-i-mir-tom-1.txt
466   бегущих                     7   voyna-i-mir-tom-1.txt
467   беда                        4   voyna-i-mir-tom-1.txt
468   бедная                      4   voyna-i-mir-tom-1.txt
469   бедного                     6   voyna-i-mir-tom-1.txt
470   бедной                      5   voyna-i-mir-tom-1.txt
471   бедуина                     3   voyna-i-mir-tom-1.txt
472   бежал                       6   voyna-i-mir-tom-1.txt
473   бежали                     10   voyna-i-mir-tom-1.txt
474   бежать                      3   voyna-i-mir-tom-1.txt
475   бежит                       4   voyna-i-mir-tom-1.txt
476   без                        82   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
477   безвыездно                  3   voyna-i-mir-tom-1.txt
478   безнадежно                  3   voyna-i-mir-tom-1.txt
479   безухим                     5   voyna-i-mir-tom-1.txt
480   безухова                    3   voyna-i-mir-tom-1.txt
481   безухого                   17   voyna-i-mir-tom-1.txt
482   безухой                     7   voyna-i-mir-tom-1.txt
483   белой                       8   voyna-i-mir-tom-1.txt
484   белом                       7   voyna-i-mir-tom-1.txt
485   белые                       8   voyna-i-mir-tom-1.txt
486   белый                       4   voyna-i-mir-tom-1.txt
487   белым                       5   voyna-i-mir-tom-1.txt
488   белыми                      8   voyna-i-mir-tom-1.txt
489   берг                       26   voyna-i-mir-tom-1.txt
490   берга                       5   voyna-i-mir-tom-1.txt
491   бергом                      5   voyna-i-mir-tom-1.txt
492   берег                       4   voyna-i-mir-tom-1.txt
493   берегу                      3   voyna-i-mir-tom-1.txt
494   беречь                      3   voyna-i-mir-tom-1.txt
495   беспокойно                  3   voyna-i-mir-tom-1.txt
496   беспокойство                4   voyna-i-mir-tom-1.txt
497   беспорядок                  4   voyna-i-mir-tom-1.txt
498   беспрестанно               18   voyna-i-mir-tom-1.txt
499   бесценный                   3   voyna-i-mir-tom-1.txt
500   бешенства                   3   voyna-i-mir-tom-1.txt
501   бил                         5   voyna-i-mir-tom-1.txt
502   били                        5   voyna-i-mir-tom-1.txt
503   билибин                    32   voyna-i-mir-tom-1.txt
504   билибина                   15   voyna-i-mir-tom-1.txt
505   бить                        5   voyna-i-mir-tom-1.txt
506   бишь                        3   voyna-i-mir-tom-1.txt
507   блага                       3   voyna-i-mir-tom-1.txt
508   благодарил                  4   voyna-i-mir-tom-1.txt
509   благодарить                 4   voyna-i-mir-tom-1.txt
510   благодарю                  12   voyna-i-mir-tom-1.txt
