=======================================================================================
                            TOP-5000 САМЫХ ЧАСТЫХ СЛОВ
                            Сортировка: По_частоте
=======================================================================================

Режим: Все файлы
Файл: Папка SourceTexts
Дата: Dec 10 2025 15:20:06

-----------------------------------------------------------------------------------------------------------------------
  №   Слово                 Частота     Документы
334   своими                     40   voyna-i-mir-tom-1.txt
335   чего                       40   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
336   чувство                    40   voyna-i-mir-tom-1.txt
337   чувствовал                 40   voyna-i-mir-tom-1.txt
338   du                         39   voyna-i-mir-tom-1.txt
339   nous                       39   voyna-i-mir-tom-1.txt
340   вид                        39   voyna-i-mir-tom-1.txt
341   никто                      39   voyna-i-mir-tom-1.txt
342   поехал                     39   voyna-i-mir-tom-1.txt
343   прибавил                   39   voyna-i-mir-tom-1.txt
344   рукой                      39   voyna-i-mir-tom-1.txt
345   весело                     38   voyna-i-mir-tom-1.txt
346   глаз                       38   voyna-i-mir-tom-1.txt
347   дальше                     38   voyna-i-mir-tom-1.txt
348   жизни                      38   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
349   место                      38   voyna-i-mir-tom-1.txt
350   сражения                   38   voyna-i-mir-tom-1.txt
351   такой                      38   voyna-i-mir-tom-1.txt
352   те                         38   voyna-i-mir-tom-1.txt
353   французы                   38   voyna-i-mir-tom-1.txt
354   mais                       37   voyna-i-mir-tom-1.txt
355   быстро                     37   voyna-i-mir-tom-1.txt
356   дверь                      37   voyna-i-mir-tom-1.txt
357   другие                     37   voyna-i-mir-tom-1.txt
358   зачем                      37   voyna-i-mir-tom-1.txt
359   знать                      37   voyna-i-mir-tom-1.txt
360   кажется                    37   voyna-i-mir-tom-1.txt
361   наконец                    37   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
362   руками                     37   voyna-i-mir-tom-1.txt
363   сделать                    37   voyna-i-mir-tom-1.txt
364   старый                     37   voyna-i-mir-tom-1.txt
365   эта                        37   voyna-i-mir-tom-1.txt
366   plus                       36   voyna-i-mir-tom-1.txt
367   tout                       36   voyna-i-mir-tom-1.txt
368   звуки                      36   voyna-i-mir-tom-1.txt
369   первый                     36   voyna-i-mir-tom-1.txt
370   пошел                      36   voyna-i-mir-tom-1.txt
371   ростову                    36   voyna-i-mir-tom-1.txt
372   своем                      36   voyna-i-mir-tom-1.txt
373   сторон                     36   voyna-i-mir-tom-1.txt
374   таким                      36   voyna-i-mir-tom-1.txt
375   comme                      35   voyna-i-mir-tom-1.txt
376   si                         35   voyna-i-mir-tom-1.txt
377   бориса                     35   voyna-i-mir-tom-1.txt
378   весь                       35   voyna-i-mir-tom-1.txt
379   говорят                    35   voyna-i-mir-tom-1.txt
380   головой                    35   voyna-i-mir-tom-1.txt
381   дела                       35   voyna-i-mir-tom-1.txt
382   других                     35   voyna-i-mir-tom-1.txt
383   если                       35   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
384   завтра                     35   voyna-i-mir-tom-1.txt
385   которым                    35   voyna-i-mir-tom-1.txt
386   кричал                     35   voyna-i-mir-tom-1.txt
387   нам                        35   voyna-i-mir-tom-1.txt
388   отца                       35   voyna-i-mir-tom-1.txt
389   свой                       35   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
390   сейчас                     35   voyna-i-mir-tom-1.txt
